AANMP02HISP.nhy.hydro.com,IPTJ192A,Chauhan Hariom,Print/file/multipurpose server in Årdal,Windows Server 2012 Standard,R2,64-bit,NO-AAN-OAA/P.O. Box 303 , Verksvegen 1 N-6882 Øvre Årdal, Norway Large site,NO,AAM,VMware,VMware Virtual Platform,Fujitsu Services NO,nan,2400 MHz,1.0,nan,Intel(R) Xeon(R) CPU E5620 2.40Ghz,nan,nan,C: 100GB
D: 1TB
AAZAP10APICS,IPTJ192A,Chauhan Hariom,APICS, Application server & ORACLE DB , Casthouse (CH). HWC quarterly.,Windows Server 2008 Standard,64 bit R2,SP1,ES-GUA-PMP/Hydro Aluminio Azuqueca S.A. c/Pintura no. 3, Azuqueca de Henares E-19200 Guadalajara, Spain Small site,ES,AAZ,HP,ProLiant DL380 G6,Norsk Hydro,nan,2670 MHz,16.0,2.0,0F27; Intel(R) Xeon(TM) CPU 2.60GHz,nan,nan,C: 68.3GB (2x 68.3GBRAID 1) E: 410.1 GB (RAID 1+0)
ACLAP10APICS,IPTJ192A,Chauhan Hariom,APICS. HWC quarterly.,Windows Server 2008 Standard,R2,SP1,LU-CEL-ESE/Hydro Aluminium Clervaux S.A. Op Der Sang. 16/Z.I. Lenzweiler, 9779 Eselborn-Clervaux, Luxembourg,LU,ACL,Fujitsu,Primergy RX300 S7,Norsk Hydro,nan,2400 MHz,8.0,2.0,Intel(R) Xeon(R) CPU E5-2609 2.40 GHz,Local,nan,C: 136GB
E: 836GB
ADEAP10APICS,IPTJ192A,Chauhan Hariom,APICS, Application & Oracle DB server, Casthouse (CH),Windows Server 2008 Standard,R2 SP1,nan,GB-WXH-BRI/Metal Markets - Hydro Aluminium Deeside Ltd. Bridge Road Wrexham Industrial Estate Wrexham LL13 9PS Wales, UK (Wrexham Wales) Small site,GB,ADE,HP,ProLiant DL380p Gen8,Fujitsu Services Oy,nan,3300 MHz,8.0,1.0,Intel(R) Xeon(R) CPU E5-2643 3.30Ghz,nan,nan,2 x system disks RAID 1 - 146GB
6 x Appl. disks RAID 10 - 300GB 15K RPM
alb001oda1,IPTJ192A,Partanen Mikko,APICS production server, ODA RAC node n:o 1 (so called 'oda-base'),Linux,Oracle Enterprise linux,ver.5,BR-BEL-ALA/ALBRAS - Alumínio Brasileiro S/A Rodovia Pa-483, Km 21 Distrito de Murucupi - Barcarena - Pará CEP 68447-000 Brazil,BR,BRP,nan,Oracle Database Appliance X5-2,Norsk Hydro,nan,nan,6.0,nan,nan,nan,nan,nan
alb001oda1-dom0,IPTJ192A,Partanen Mikko,APICS production server, Database and WLS server platform - ODA hardware partition n:o 1,Linux,Oracle Enterprise linux,ver.5,BR-BEL-ALA/ALBRAS - Alumínio Brasileiro S/A Rodovia Pa-483, Km 21 Distrito de Murucupi - Barcarena - Pará CEP 68447-000 Brazil,BR,BRP,nan,Oracle Database Appliance X5-2,Norsk Hydro,nan,nan,nan,nan,nan,nan,nan,nan
alb001oda2,IPTJ192A,Partanen Mikko,APICS production server, ODA RAC node n:o 1 (so called 'oda-base'),Linux,Oracle Enterprise linux,ver.5,BR-BEL-ALA/ALBRAS - Alumínio Brasileiro S/A Rodovia Pa-483, Km 21 Distrito de Murucupi - Barcarena - Pará CEP 68447-000 Brazil,BR,BRP,nan,Oracle Database Appliance X5-2,Norsk Hydro,nan,nan,6.0,nan,nan,nan,nan,nan
alb001oda2-dom0,IPTJ192A,Partanen Mikko,APICS production server, Database and WLS server platform - ODA hardware partition n:o 2,Linux,Oracle Enterprise linux,ver.5,BR-BEL-ALA/ALBRAS - Alumínio Brasileiro S/A Rodovia Pa-483, Km 21 Distrito de Murucupi - Barcarena - Pará CEP 68447-000 Brazil,BR,BRP,nan,Oracle Database Appliance X5-2,Norsk Hydro,nan,nan,nan,nan,nan,nan,nan,nan
